Candidate,Party,State,Office,Incumbency,Result,Total Money
"ALLEN, ALMA",DEMOCRATIC,TX,HOUSE DISTRICT 131,Incumbent,Won-General,71045.00
"MORENO, PAUL C",DEMOCRATIC,TX,HOUSE DISTRICT 077,Incumbent,Won-General,70965.11
"PILLOW, DAVID",DEMOCRATIC,TX,HOUSE DISTRICT 094,Open,Lost-General,70903.00
"HUGHES, D BRYAN",REPUBLICAN,TX,HOUSE DISTRICT 005,Incumbent,Won-General,68879.15
"ALONZO, ROBERTO R",DEMOCRATIC,TX,HOUSE DISTRICT 104,Incumbent,Won-General,68165.00
"DAWSON, GLENDA",REPUBLICAN,TX,HOUSE DISTRICT 029,Incumbent,Won-General,67647.97
"SMITH, TODD",REPUBLICAN,TX,HOUSE DISTRICT 092,Incumbent,Won-General,65100.56
"SPIVEY, SYLVIA",REPUBLICAN,TX,HOUSE DISTRICT 137,Challenger,Lost-General,61613.91
"SMITHEE, JOHN",REPUBLICAN,TX,HOUSE DISTRICT 086,Incumbent,Won-General,58700.00
"CARAWAY, BARBARA MALLORY",DEMOCRATIC,TX,HOUSE DISTRICT 110,Open,Won-General,58325.89
"ANDERSON, CHARLES (DOC)",REPUBLICAN,TX,HOUSE DISTRICT 056,Incumbent,Won-General,55705.00
"CHARLETON, MAGGIE",DEMOCRATIC,TX,BOARD OF EDUCATION DISTRICT 009,Challenger,Lost-General,55251.55
"TRAUTMAN, DIANE",DEMOCRATIC,TX,HOUSE DISTRICT 127,Challenger,Lost-General,53544.44
"DUNBAR, CYNTHIA",REPUBLICAN,TX,BOARD OF EDUCATION DISTRICT 010,Open,Won-General,51750.79
"BRYANT, KEN",REPUBLICAN,TX,HOUSE DISTRICT 027,Challenger,Lost-General,51373.47
"ALVARADO, MARIA LUISA",DEMOCRATIC,TX,LIEUTENANT GOVERNOR,Challenger,Lost-General,50740.99
"RODRIGUEZ, EDDIE",DEMOCRATIC,TX,HOUSE DISTRICT 051,Incumbent,Won-General,50034.00
"LUNA, VILMA",DEMOCRATIC,TX,HOUSE DISTRICT 033,Incumbent,Withdrew-General,49485.00
"CASBEER, ERNIE",DEMOCRATIC,TX,HOUSE DISTRICT 059,Challenger,Lost-General,48235.66
"HENRY, K DALE",DEMOCRATIC,TX,RAILROAD COMMISSIONER,Challenger,Lost-General,47747.91
"OLMOS, DOROTHY",REPUBLICAN,TX,HOUSE DISTRICT 143,Challenger,Lost-General,44843.66
"FROST, STEPHEN J",DEMOCRATIC,TX,HOUSE DISTRICT 001,Incumbent,Won-General,43817.26
"PENA, AARON",DEMOCRATIC,TX,HOUSE DISTRICT 040,Incumbent,Won-General,42861.72
"NEUHAUS, JIM",REPUBLICAN,TX,HOUSE DISTRICT 045,Challenger,Lost-General,39901.67
"BARRETT, DAN",DEMOCRATIC,TX,HOUSE DISTRICT 097,Challenger,Lost-General,39849.95
"BRANN, SCOTT R",DEMOCRATIC,TX,HOUSE DISTRICT 136,Challenger,Lost-General,38895.82
"DAVIS, SHARON CADE",DEMOCRATIC,TX,HOUSE DISTRICT 008,Challenger,Lost-General,38404.50
"FELTHAUSER, KAREN",DEMOCRATIC,TX,HOUSE DISTRICT 052,Challenger,Lost-General,33021.13
"AGOSTO, RICK",DEMOCRATIC,TX,BOARD OF EDUCATION DISTRICT 003,Open,Won-General,32816.13
"DINOVO, ANTHONY A",DEMOCRATIC,TX,HOUSE DISTRICT 029,Challenger,Lost-General,32280.39
"SIBBET, BYRON",DEMOCRATIC,TX,HOUSE DISTRICT 091,Open,Lost-General,31656.76
"MILLER, JOHN E",DEMOCRATIC,TX,HOUSE DISTRICT 083,Challenger,Lost-General,29805.00
"MCDAVID, MARK",DEMOCRATIC,TX,HOUSE DISTRICT 138,Challenger,Lost-General,28723.85
"THOMAS, KATHLEEN (KATHI)",DEMOCRATIC,TX,SENATE DISTRICT 025,Challenger,Lost-General,25655.50
"HORN, KERRY L",DEMOCRATIC,TX,HOUSE DISTRICT 010,Challenger,Lost-General,25451.99
"CORNUAUD, SCOTT",DEMOCRATIC,TX,HOUSE DISTRICT 002,Challenger,Lost-General,23923.85
"BOTTOS, DOROTHY",DEMOCRATIC,TX,HOUSE DISTRICT 028,Open,Lost-General,23369.85
"STAUBER, JIM",DEMOCRATIC,TX,HOUSE DISTRICT 020,Challenger,Lost-General,21519.89
"GLEASON, K J (BEAR)",DEMOCRATIC,TX,HOUSE DISTRICT 004,Challenger,Lost-General,18821.26
"SEXTON, JANETTE PADILLA",DEMOCRATIC,TX,HOUSE DISTRICT 144,Challenger,Lost-General,15069.71
