Candidate,Party,State,Office,Incumbency,Result,Total Money
"KAHO OHALAHALA, SOL P",DEMOCRATIC,HI,HOUSE DISTRICT 013,Open,Won-General,13838.66
"LEE, MARILYN B",DEMOCRATIC,HI,HOUSE DISTRICT 038,Incumbent,Won-General,13190.00
"GABBARD TAMAYO, TULSI",DEMOCRATIC,HI,HOUSE DISTRICT 042,Open,Won-General,12314.85
"RYAN, TRACY AHN & VAUGHAN, KEN",LIBERTARIAN,HI,GOVERNOR / LIEUTENANT GOVERNOR,Open,Lost-General,11453.33
"SLOM, SAM",REPUBLICAN,HI,SENATE DISTRICT 008,Incumbent,Won-General,8975.00
"KIM, DONNA MERCADO",DEMOCRATIC,HI,SENATE DISTRICT 014,Open,Won-General,6675.00
"ENGLISH, J KALANI",DEMOCRATIC,HI,SENATE DISTRICT 006,Open,Won-General,6122.95
"STONEBRAKER, WILLIAM (BUD)",REPUBLICAN,HI,HOUSE DISTRICT 017,Open,Won-General,5155.00
"ORENDT, JOHN",LIBERTARIAN,HI,HOUSE DISTRICT 030,Open,Lost-General,3380.40
"KELLY, CHRISTOPHER T",REPUBLICAN,HI,HOUSE DISTRICT 022,Open,Lost-General,3175.27
"HEMMINGS, FRED",REPUBLICAN,HI,SENATE DISTRICT 025,Incumbent,Won-General,2395.00
"JAFFE, MINDY",REPUBLICAN,HI,HOUSE DISTRICT 021,Open,Lost-General,2200.00
"KANOHO, EZRA R",DEMOCRATIC,HI,HOUSE DISTRICT 015,Open,Won-General,1738.33
"LEONG, BERTHA F K",REPUBLICAN,HI,HOUSE DISTRICT 018,Open,Won-General,1000.00
"FINNEGAN, LYNN BERBANO",REPUBLICAN,HI,HOUSE DISTRICT 032,Open,Won-General,875.00
"JERNIGAN, MARK",REPUBLICAN,HI,HOUSE DISTRICT 006,Open,Won-General,359.37
"PHILIPS, CAROL ANNE",REPUBLICAN,HI,HOUSE DISTRICT 046,Open,Lost-General,351.00
"KAGAWA, FRANCES (FRAN)",DEMOCRATIC,HI,SENATE DISTRICT 008,Challenger,Lost-General,314.66
"WAKAI, GLENN",DEMOCRATIC,HI,HOUSE DISTRICT 031,Open,Won-General,130.99
"HOLS, WILLIAM P (BILL)",REPUBLICAN,HI,HOUSE DISTRICT 025,Open,Lost-General,120.00
"HOLT, ROSIE",REPUBLICAN,HI,SENATE DISTRICT 007,Open,Lost-General,100.00
"SMITH, PAM LEE",REPUBLICAN,HI,HOUSE DISTRICT 043,Open,Lost-General,50.00
"HAYES, GLADYS GERLICH",REPUBLICAN,HI,SENATE DISTRICT 009,Open,Lost-General,0.00
"CHOI, CASEY K",REPUBLICAN,HI,SENATE DISTRICT 011,Open,Lost-General,0.00
"MOGILEWICZ, ALEX",REPUBLICAN,HI,SENATE DISTRICT 017,Open,Lost-General,0.00
"NAKATA, GERALD K",REPUBLICAN,HI,SENATE DISTRICT 019,Open,Lost-General,0.00
"JOHNSON, DICKYJ",REPUBLICAN,HI,SENATE DISTRICT 021,Challenger,Lost-General,0.00
"CLARKE, CHARLES",REPUBLICAN,HI,SENATE DISTRICT 001,Challenger,Lost-General,0.00
"AIPIA, KAHEALANIKUULEIALOHA",GREEN,HI,SENATE DISTRICT 002,Open,Lost-General,0.00
