office,candidate,party,state,incumbency,result,total money,district
State Representative,Glenn Nixon,REP,IL,Challenger,Lost-General,776211.76,79
U.S. Representative,Darlene Senger,REP,IL,Challenger,Lost-General,742625.0,11
State Representative,Deborah Okeefe Conroy,DEM,IL,Incumbent,Won-General,723831.49,46
State Representative,Ron Sandack,REP,IL,Incumbent,Won-General,698767.37,81
State Senator,Suzanne Glowiak,DEM,IL,Challenger,Lost-General,671179.05,24
State Representative,Loren Karner,DEM,IL,Open,Lost-General,669725.3,61
State Representative,Jay Hoffman,DEM,IL,Incumbent,Won-General,668445.33,113
State Representative,Christine Jennifer Winger,REP,IL,Open,Won-General,656182.97,45
State Representative,Cullen Cullen,DEM,IL,Challenger,Lost-General,646749.35,112
State Senator,Christopher Nybo,REP,IL,Incumbent,Won-General,645635.7,24
State Representative,David McSweeney,REP,IL,Incumbent,Won-General,593465.27,52
State Representative,Michael Unes,REP,IL,Incumbent,Won-General,591291.22,91
State Representative,Michael Bell,REP,IL,Challenger,Lost-General,547445.24,96
State Representative,Moira Dunn,DEM,IL,Open,Lost-General,545843.32,97
State Senator,James Clayborne Jr.,DEM,IL,Incumbent,Won-General,539972.74,57
State Representative,Brandon Phelps,DEM,IL,Incumbent,Won-General,526001.98,118
