Candidate,Party,State,Office,Incumbency,Result,Total Money
"GUSTAFSON, STANLEY R (STAN)",REPUBLICAN,IA,HOUSE DISTRICT 025,Incumbent,Pending,6975.09
"HUSEMAN, DAN",REPUBLICAN,IA,HOUSE DISTRICT 003,Incumbent,Pending,6875.00
"HUNTER, BRUCE",DEMOCRATIC,IA,HOUSE DISTRICT 034,Incumbent,Pending,6805.25
"STROMBERG, ERIC",DEMOCRATIC,IA,HOUSE DISTRICT 063,Challenger,Pending,6520.42
"HENDERSON, ROBERT",REPUBLICAN,IA,HOUSE DISTRICT 014,Challenger,Pending,6360.00
"SORENSEN, RAY BUBBA",REPUBLICAN,IA,HOUSE DISTRICT 020,Open,Pending,6110.00
"OBRIEN, JOHN J",DEMOCRATIC,IA,SENATE DISTRICT 005,Challenger,Pending,6089.74
"PRICE, CONNIE",DEMOCRATIC,IA,HOUSE DISTRICT 008,Challenger,Pending,5792.75
"BAXTER, TERRY",REPUBLICAN,IA,HOUSE DISTRICT 008,Incumbent,Pending,5615.00
"THEDE, PHYLLIS",DEMOCRATIC,IA,HOUSE DISTRICT 093,Incumbent,Pending,5497.88
"MAXWELL, DAVID E",REPUBLICAN,IA,HOUSE DISTRICT 076,Incumbent,Pending,5220.00
"DAVIS, JEREMY N",REPUBLICAN,IA,TREASURER,Challenger,Pending,5120.73
"THORUP, JON",REPUBLICAN,IA,HOUSE DISTRICT 028,Open,Pending,4958.00
"OBRIEN, DENISE",DEMOCRATIC,IA,HOUSE DISTRICT 021,Challenger,Pending,4917.92
"BACON, ROBERT",REPUBLICAN,IA,HOUSE DISTRICT 048,Incumbent,Pending,4915.00
"EGLEY, ANN",DEMOCRATIC,IA,HOUSE DISTRICT 076,Challenger,Pending,4910.55
"SIECK, DAVID A",REPUBLICAN,IA,HOUSE DISTRICT 023,Incumbent,Pending,4465.00
"CHILTON, PAULINE",REPUBLICAN,IA,HOUSE DISTRICT 099,Open,Pending,4102.00
"WORTHAN, GARY",REPUBLICAN,IA,HOUSE DISTRICT 011,Incumbent,Pending,4075.00
