Candidate,Party,State,Office,Incumbency,Result,Total Money
"LUBBERS, TERESA S",REPUBLICAN,IN,SENATE DISTRICT 030,Incumbent,Won-General,132663.01
"KLINCK, LINDA L",DEMOCRATIC,IN,SENATE DISTRICT 018,Open,Lost-General,132343.78
"AVERY, DENNIS T",DEMOCRATIC,IN,HOUSE DISTRICT 075,Incumbent,Won-General,129282.92
"VAN HAAFTEN, W TRENT",DEMOCRATIC,IN,HOUSE DISTRICT 076,Incumbent,Won-General,128800.00
"LEISING, JEAN",REPUBLICAN,IN,SENATE DISTRICT 042,Open,Won-General,124085.90
"CULVER, WESLEY",REPUBLICAN,IN,HOUSE DISTRICT 049,Open,Won-General,123923.58
"MURPHY, MICHAEL B",REPUBLICAN,IN,HOUSE DISTRICT 090,Incumbent,Won-General,121631.27
"MILLER, DAVE",REPUBLICAN,IN,HOUSE DISTRICT 005,Challenger,Lost-General,119700.41
"ESPICH, JEFFREY KELLER",REPUBLICAN,IN,HOUSE DISTRICT 082,Incumbent,Won-General,117849.00
"OXLEY, DENNIE RAY",DEMOCRATIC,IN,HOUSE DISTRICT 073,Incumbent,Won-General,117046.33
"BELL, MATTHEW (MATT)",REPUBLICAN,IN,HOUSE DISTRICT 083,Incumbent,Won-General,108970.51
"BORDERS, BRUCE ALAN",REPUBLICAN,IN,HOUSE DISTRICT 045,Incumbent,Won-General,103559.77
"HERBSTER, DAN",REPUBLICAN,IN,HOUSE DISTRICT 007,Challenger,Lost-General,101454.43
"VANDENBURGH, ROCHELLE (SHELLI)",DEMOCRATIC,IN,HOUSE DISTRICT 019,Incumbent,Won-General,101222.74
"TURNER, PAUL ERIC",REPUBLICAN,IN,HOUSE DISTRICT 032,Incumbent,Won-General,95786.00
"BROWN, CHARLIE",DEMOCRATIC,IN,HOUSE DISTRICT 003,Incumbent,Won-General,95455.00
"BECKER, VANETA G",REPUBLICAN,IN,SENATE DISTRICT 050,Incumbent,Won-General,94979.01
"NIEZGODSKI, DAVID L",DEMOCRATIC,IN,HOUSE DISTRICT 007,Incumbent,Won-General,92875.00
"TYLER, DENNIS A",DEMOCRATIC,IN,HOUSE DISTRICT 034,Incumbent,Won-General,89945.10
"LUTZ, L JACK",REPUBLICAN,IN,HOUSE DISTRICT 035,Incumbent,Won-General,88993.24
"MCMILLIN, JUDSON G",REPUBLICAN,IN,HOUSE DISTRICT 068,Challenger,Lost-General,88122.99
"SWIHART WALORSKI, JACQUELINE (JACKIE) R",REPUBLICAN,IN,HOUSE DISTRICT 021,Incumbent,Won-General,86601.49
"GOODIN, TERRY ALLEN",DEMOCRATIC,IN,HOUSE DISTRICT 066,Incumbent,Won-General,86384.71
