Candidate,Party,State,Office,Incumbency,Result,Total Money
"FOSTER, BRYAN",DEMOCRATIC,MT,HOUSE DISTRICT 014,Open,Lost-General,0.00
"KENCK, CYNDI",REPUBLICAN,MT,HOUSE DISTRICT 095,Open,Lost-General,0.00
"MCGARRY, DAVID B",DEMOCRATIC,MT,HOUSE DISTRICT 002,Challenger,Lost-General,0.00
"DESILVA, DEAN K",REPUBLICAN,MT,HOUSE DISTRICT 078,Challenger,Lost-General,0.00
"GENTRY, DEBORAH",DEMOCRATIC,MT,HOUSE DISTRICT 004,Open,Lost-General,0.00
"ACHATZ, DEBRA J",DEMOCRATIC,MT,HOUSE DISTRICT 013,Challenger,Lost-General,0.00
"ADAMS, DIRK S",DEMOCRATIC,MT,HOUSE DISTRICT 059,Challenger,Lost-General,0.00
"GALT, WYLIE",REPUBLICAN,MT,HOUSE DISTRICT 030,Open,Won-General,0.00
"DOERR, ELAINE",DEMOCRATIC,MT,HOUSE DISTRICT 057,Challenger,Withdrew-General,0.00
"CAIN, ELIZABETH",DEMOCRATIC,MT,HOUSE DISTRICT 080,Open,Lost-General,0.00
"WENDT, FRANCIS",LIBERTARIAN,MT,HOUSE DISTRICT 061,Open,Lost-General,0.00
"THOMAS, JASON LEE",REPUBLICAN,MT,HOUSE DISTRICT 047,Challenger,Lost-General,0.00
