Candidate,Party,State,Office,Incumbency,Result,Total Money
"HADSALL, CHRISTOPHER A",REPUBLICAN,CO,HOUSE DISTRICT 023,Open,Lost-General,50124.40
"ESGAR, DANEYA LEIGH",DEMOCRATIC,CO,HOUSE DISTRICT 046,Incumbent,Won-General,44238.60
"WIST, COLE A",REPUBLICAN,CO,HOUSE DISTRICT 037,Incumbent,Won-General,42896.11
"VAN WINKLE, KEVIN",REPUBLICAN,CO,HOUSE DISTRICT 043,Incumbent,Won-General,41436.66
"MUNOZ, JASON",DEMOCRATIC,CO,HOUSE DISTRICT 047,Challenger,Lost-General,40720.75
"SIAS, LANGHORNE C (LANG)",REPUBLICAN,CO,HOUSE DISTRICT 027,Incumbent,Won-General,39968.23
"BECKMAN, SUSAN",REPUBLICAN,CO,HOUSE DISTRICT 038,Open,Won-General,39501.56
"SCHUTT JR, ROBERT CLARK (BOB)",REPUBLICAN,CO,HOUSE DISTRICT 061,Challenger,Lost-General,38849.42
"ROSENTHAL, PAUL BRADLEY",DEMOCRATIC,CO,HOUSE DISTRICT 009,Incumbent,Won-General,38008.00
"SHADDUCK-MCNALLY, JODY",DEMOCRATIC,CO,HOUSE DISTRICT 051,Open,Lost-General,37774.39
"LEBSOCK, STEVE",DEMOCRATIC,CO,HOUSE DISTRICT 034,Incumbent,Won-General,37136.00
"ARNDT, JENNIFER JAMES (JENI)",DEMOCRATIC,CO,HOUSE DISTRICT 053,Incumbent,Won-General,37042.00
"BENAVIDEZ, ADRIENNE HELEN",DEMOCRATIC,CO,HOUSE DISTRICT 032,Open,Won-General,36477.92
"MARBLE, VICKI",REPUBLICAN,CO,SENATE DISTRICT 023,Incumbent,Won-General,33515.58
"JONES, MATTHEW KEVIN (MATT)",DEMOCRATIC,CO,SENATE DISTRICT 017,Incumbent,Won-General,33397.64
"VALDEZ, DONALD ELIAS",DEMOCRATIC,CO,HOUSE DISTRICT 062,Open,Won-General,32281.52
"GARNETT, ALEC WALTER",DEMOCRATIC,CO,HOUSE DISTRICT 002,Incumbent,Won-General,31980.00
"MATTIVE, ROBERT T (BOB)",REPUBLICAN,CO,HOUSE DISTRICT 062,Open,Lost-General,30260.07
"WILLIAMS, DAVE",REPUBLICAN,CO,HOUSE DISTRICT 015,Open,Won-General,30246.50
"LAWRENCE, POLLY",REPUBLICAN,CO,HOUSE DISTRICT 039,Incumbent,Won-General,29470.00
"WINDHOLZ, JOANN",REPUBLICAN,CO,HOUSE DISTRICT 030,Incumbent,Lost-General,29100.81
"SAINE, LORI",REPUBLICAN,CO,HOUSE DISTRICT 063,Incumbent,Won-General,29081.00
"EVERETT, JUSTIN D",REPUBLICAN,CO,HOUSE DISTRICT 022,Incumbent,Won-General,28803.55
"PABON, DANIEL P (DAN)",DEMOCRATIC,CO,HOUSE DISTRICT 004,Incumbent,Won-General,28160.00
"WOODLEY, JAMES",REPUBLICAN,CO,SENATE DISTRICT 028,Challenger,Lost-General,27399.50
"RANKIN, ROBERT E (BOB)",REPUBLICAN,CO,HOUSE DISTRICT 057,Incumbent,Won-General,26990.26
"FOOTE, MICHAEL JAMES (MIKE)",DEMOCRATIC,CO,HOUSE DISTRICT 012,Incumbent,Won-General,25218.16
"LUNDEEN, PAUL HAROLD",REPUBLICAN,CO,HOUSE DISTRICT 019,Incumbent,Won-General,25214.00
"THURLOW, DANIEL R (DAN)",REPUBLICAN,CO,HOUSE DISTRICT 055,Incumbent,Won-General,24159.01
"RANKIN, JOYCE",REPUBLICAN,CO,BOARD OF EDUCATION DISTRICT 003,Incumbent,Won-General,23746.00
"SCHEFFEL, DEBORA L",REPUBLICAN,CO,BOARD OF EDUCATION DISTRICT 006,Incumbent,Lost-General,23217.16
"CORAM, DONALD LEE",REPUBLICAN,CO,HOUSE DISTRICT 058,Incumbent,Won-General,22955.00
"CARVER, TERRI L",REPUBLICAN,CO,HOUSE DISTRICT 020,Incumbent,Won-General,22757.73
"WILLETT, YEULIN V",REPUBLICAN,CO,HOUSE DISTRICT 054,Incumbent,Won-General,22650.00
"NORDBERG, DANIEL PAUL",REPUBLICAN,CO,HOUSE DISTRICT 014,Incumbent,Won-General,22254.00
"NELSON, KAREN",REPUBLICAN,CO,HOUSE DISTRICT 033,Open,Lost-General,22025.11
"BOWMAN, RICHARD J",REPUBLICAN,CO,HOUSE DISTRICT 036,Open,Lost-General,21832.00
"CACIOPPO, MICHAEL JOSEPH",REPUBLICAN,CO,HOUSE DISTRICT 026,Challenger,Lost-General,20851.79
"COVARRUBIAS, PHILIP",REPUBLICAN,CO,HOUSE DISTRICT 056,Open,Won-General,20080.00
"LONTINE, SUSAN",DEMOCRATIC,CO,HOUSE DISTRICT 001,Incumbent,Won-General,19821.32
"BECKER, KATHLEEN COLLINS (KC)",DEMOCRATIC,CO,HOUSE DISTRICT 013,Incumbent,Won-General,18550.00
"KROLL, JACK",DEMOCRATIC,CO,BOARD OF REGENTS DISTRICT 001,Open,Won-General,18445.79
"MENCONI, ARN",GREEN,CO,US SENATE DISTRICT CO SW-CLASS III,Challenger,Lost-General,17424.66
"RANSOM, KIM",REPUBLICAN,CO,HOUSE DISTRICT 044,Incumbent,Won-General,16029.76
"CERBO, MICHAEL",NONPARTISAN,CO,REGIONAL TRANSPORTATION DISTRICT BOARD DISTRICT A,Open,Lost-General,15771.25
"HOCHHEIMER, HANS",REPUBLICAN,CO,SENATE DISTRICT 014,Challenger,Lost-General,15273.18
"PLOWRIGHT, MISTY",DEMOCRATIC,CO,US HOUSE DISTRICT CO 005,Challenger,Lost-General,15260.28
"BECKER, JON",REPUBLICAN,CO,HOUSE DISTRICT 065,Incumbent,Won-General,15030.00
"WILSON, JAMES DEMONT",REPUBLICAN,CO,HOUSE DISTRICT 060,Incumbent,Won-General,14635.00
"WILLIAMS, LILY TANG",LIBERTARIAN,CO,US SENATE DISTRICT CO SW-CLASS III,Challenger,Lost-General,14243.40
"MELTON, JOVAN EMERSON",DEMOCRATIC,CO,HOUSE DISTRICT 041,Incumbent,Won-General,14156.00
