Candidate,Party,State,Office,Incumbency,Result,Total Money
"ASAY, CURTIS",DEMOCRATIC,ID,HOUSE DISTRICT 025-POSITION A,Challenger,Withdrew-General,31.00
"JOHNSON, RONALD K",DEMOCRATIC,ID,HOUSE DISTRICT 003-POSITION B,Challenger,Lost-General,30.00
"LARSEN, DAVID B",DEMOCRATIC,ID,HOUSE DISTRICT 003-POSITION A,Open,Lost-General,30.00
"HAY, DAVID G",CONSTITUTION,ID,HOUSE DISTRICT 030-POSITION A,Challenger,Lost-General,21.30
"BROWNE, JERRY L",DEMOCRATIC,ID,HOUSE DISTRICT 035-POSITION A,Challenger,Lost-General,0.00
"FITZGERALD, BOB",DEMOCRATIC,ID,HOUSE DISTRICT 032-POSITION A,Challenger,Lost-General,0.00
"GORGOGLIONE SR, ROBERT D",CONSTITUTION,ID,HOUSE DISTRICT 030-POSITION B,Open,Lost-General,0.00
"GREENE, MATTHEW L",DEMOCRATIC,ID,SENATE DISTRICT 013,Challenger,Lost-General,0.00
"HAUTZINGER, MIKEL",LIBERTARIAN,ID,HOUSE DISTRICT 017-POSITION B,Challenger,Lost-General,0.00
"LAING, JEFFREY",LIBERTARIAN,ID,HOUSE DISTRICT 016-POSITION A,Challenger,Lost-General,0.00
"RICHARDSON, KIRSTEN FAITH",INDEPENDENT,ID,SENATE DISTRICT 008,Open,Lost-General,0.00
"ROBINSON, MELISSA SUE",DEMOCRATIC,ID,SENATE DISTRICT 012,Open,Lost-General,0.00
"SORG, ANDREW C",DEMOCRATIC,ID,HOUSE DISTRICT 001-POSITION A,Challenger,Lost-General,0.00
"VOLPI, TRACY S",DEMOCRATIC,ID,HOUSE DISTRICT 012-POSITION A,Open,Lost-General,0.00
"SIDDOWAY, JEFF C",REPUBLICAN,ID,SENATE DISTRICT 035,Incumbent,Won-General,0.00
"EISMANN, DANIEL T",NONPARTISAN,ID,SUPREME COURT-EISMANN SEAT,Incumbent,Default Winner-General,0.00
"GRATTON, DAVID",NONPARTISAN,ID,APPELLATE COURT-GRATTON SEAT,Incumbent,Won-General,0.00
"MELANSON, JOHN M",NONPARTISAN,ID,APPELLATE COURT-MELANSON SEAT,Incumbent,Won-General,0.00
"BRY, LAURA",DEMOCRATIC,ID,SENATE DISTRICT 001,Challenger,Withdrew-General,0.00
"PARADISO, JAMES J",DEMOCRATIC,ID,HOUSE DISTRICT 007-POSITION B,Challenger,Withdrew-General,0.00
"PULSIPHER, DAVID",INDEPENDENT,ID,HOUSE DISTRICT 034-POSITION A,Open,Withdrew-General,0.00
"TUCKER, TIM",DEMOCRATIC,ID,HOUSE DISTRICT 001-POSITION B,Challenger,Withdrew-General,0.00
"WARREN, DENNIS",REPUBLICAN,ID,SENATE DISTRICT 016,Challenger,Withdrew-General,0.00
"CHAPPELL, JACK WAYNE",DEMOCRATIC,ID,US HOUSE DISTRICT ID 002,Challenger,Lost-General,0.00
"OATES, ROB",LIBERTARIAN,ID,US HOUSE DISTRICT ID 001,Challenger,Lost-General,0.00
