Candidate,Party,State,Office,Incumbency,Result,Total Money
"HENNE, MICHAEL E",REPUBLICAN,OH,HOUSE DISTRICT 036,Open,Won-General,41668.72
"DEATON, ERIC W",CONSTITUTION,OH,US SENATE DISTRICT OH SW-CLASS III,Open,Lost-General,40842.98
"COMBS, COURTNEY E",REPUBLICAN,OH,HOUSE DISTRICT 054,Incumbent,Won-General,37722.68
"RUHL, MARGARET ANN",REPUBLICAN,OH,HOUSE DISTRICT 090,Incumbent,Won-General,34512.90
"GILBERT, SETH",NONPARTISAN,OH,APPELLATE COURT DISTRICT 010-OPEN SEAT,Open,Lost-General,34090.05
"DAVIDSON, GREGORY S",DEMOCRATIC,OH,HOUSE DISTRICT 058,Challenger,Lost-General,34029.02
"PING, LIZ",DEMOCRATIC,OH,HOUSE DISTRICT 029,Challenger,Lost-General,33853.20
"CARR, DONNA J",NONPARTISAN,OH,APPELLATE COURT DISTRICT 009-CARR SEAT,Incumbent,Won-General,33767.63
"KROUSE, GREGORY D",DEMOCRATIC,OH,HOUSE DISTRICT 072,Challenger,Lost-General,32677.31
"NITZSCHE, DAVID D",REPUBLICAN,OH,HOUSE DISTRICT 073,Challenger,Lost-General,32103.36
"FIEBIG, DAVID M",REPUBLICAN,OH,HOUSE DISTRICT 062,Challenger,Lost-General,30212.73
"MORIARTY, ROBERT BRIAN",NONPARTISAN,OH,APPELLATE COURT DISTRICT 008-DYKE SEAT,Open,Lost-General,29256.00
"CAIN, DEBORAH L",NONPARTISAN,OH,BOARD OF EDUCATION DISTRICT 008,Incumbent,Won-General,27704.68
"PRYCE, MICHAEL L",INDEPENDENT,OH,US SENATE DISTRICT OH SW-CLASS III,Open,Lost-General,27479.16
"LEWIS, MATT",REPUBLICAN,OH,SENATE DISTRICT 033,Challenger,Lost-General,26948.60
"UECKER, JOSEPH W",REPUBLICAN,OH,HOUSE DISTRICT 066,Incumbent,Won-General,25903.76
"STEWART, MELODY J",NONPARTISAN,OH,APPELLATE COURT DISTRICT 008-STEWART SEAT,Incumbent,Won-General,24892.00
"EARL, CHARLES R",LIBERTARIAN,OH,SECRETARY OF STATE,Open,Lost-General,23910.27
"FALLON, JUSTIN",DEMOCRATIC,OH,SENATE DISTRICT 017,Open,Lost-General,23905.00
"HALL, MICHAEL T",NONPARTISAN,OH,APPELLATE COURT DISTRICT 002-OPEN SEAT,Open,Won-General,23458.37
"HARVEY, ELIZABETH",NONPARTISAN,OH,APPELLATE COURT DISTRICT 008-OPEN SEAT,Open,Lost-General,22904.00
"RHODES, ANGEL R",REPUBLICAN,OH,HOUSE DISTRICT 022,Challenger,Lost-General,22668.65
"HUTZEL, RACHEL",NONPARTISAN,OH,APPELLATE COURT DISTRICT 012-OPEN SEAT 2,Open,Won-General,21833.90
"NEBERGALL, ERIK",REPUBLICAN,OH,HOUSE DISTRICT 032,Challenger,Lost-General,21613.46
"LARGER, NATHAN",REPUBLICAN,OH,HOUSE DISTRICT 024,Challenger,Lost-General,20448.98
"BROWN, ROBERT",NONPARTISAN,OH,APPELLATE COURT DISTRICT 009-CARR SEAT,Challenger,Lost-General,19830.44
"GALLAGHER, EILEEN A",NONPARTISAN,OH,APPELLATE COURT DISTRICT 008-OPEN SEAT,Open,Won-General,19820.00
"DEEL, FRED",DEMOCRATIC,OH,HOUSE DISTRICT 087,Open,Lost-General,17736.10
"BRUNS, PAT",NONPARTISAN,OH,BOARD OF EDUCATION DISTRICT 004,Open,Lost-General,17702.11
"TERHAR, DEBE",NONPARTISAN,OH,BOARD OF EDUCATION DISTRICT 004,Open,Won-General,17554.03
"BRADY, JENNIFER L",DEMOCRATIC,OH,HOUSE DISTRICT 016,Challenger,Lost-General,17535.00
"WHITMORE, BETH",NONPARTISAN,OH,APPELLATE COURT DISTRICT 009-WHITMORE SEAT,Incumbent,Won-General,17114.05
"PATMON, BILL",DEMOCRATIC,OH,HOUSE DISTRICT 010,Open,Won-General,16700.00
"CANTRELL, MATTHEW P",LIBERTARIAN,OH,TREASURER,Challenger,Lost-General,16382.36
